,1.0,2.0,2.5,3.0,5.0
33,-0.9998779296875,-0.99951171875,-0.99560546875,-0.989990234375,-0.90771484375
34,-0.9998779296875,-0.999267578125,-0.9957275390625,-0.9879150390625,-0.9046630859375
35,-0.9998779296875,-0.9993896484375,-0.9971923828125,-0.9871826171875,-0.9002685546875
36,-0.9998779296875,-0.9984130859375,-0.9967041015625,-0.9888916015625,-0.895751953125
37,-0.9998779296875,-0.9996337890625,-0.9957275390625,-0.986572265625,-0.8924560546875
38,-0.9998779296875,-0.9981689453125,-0.9962158203125,-0.9864501953125,-0.89013671875
39,-0.9998779296875,-0.999267578125,-0.996337890625,-0.9873046875,-0.8892822265625
40,-0.9998779296875,-0.9990234375,-0.994384765625,-0.9864501953125,-0.88134765625
41,-0.9998779296875,-0.9993896484375,-0.994873046875,-0.9853515625,-0.878662109375
42,-0.9998779296875,-0.99853515625,-0.99462890625,-0.986328125,-0.87646484375
43,-0.9998779296875,-0.9990234375,-0.99365234375,-0.98486328125,-0.869873046875
44,-0.9998779296875,-0.9989013671875,-0.9937744140625,-0.98291015625,-0.8729248046875
45,-0.9998779296875,-0.9991455078125,-0.9937744140625,-0.9832763671875,-0.8701171875
46,-0.9998779296875,-0.9976806640625,-0.9937744140625,-0.9837646484375,-0.855712890625
47,-0.9998779296875,-0.9993896484375,-0.991943359375,-0.9805908203125,-0.8546142578125
48,-0.9998779296875,-0.9981689453125,-0.9920654296875,-0.9830322265625,-0.8504638671875
49,-0.9998779296875,-0.997802734375,-0.9930419921875,-0.9779052734375,-0.8394775390625
50,-0.9998779296875,-0.9974365234375,-0.993896484375,-0.978515625,-0.843505859375
51,-0.9998779296875,-0.9970703125,-0.99072265625,-0.9808349609375,-0.837646484375
52,-0.9998779296875,-0.9971923828125,-0.9910888671875,-0.9749755859375,-0.828857421875
53,-0.9998779296875,-0.9967041015625,-0.9901123046875,-0.9742431640625,-0.8240966796875
54,-0.9998779296875,-0.9976806640625,-0.989013671875,-0.970703125,-0.8216552734375
55,-0.9998779296875,-0.9967041015625,-0.9891357421875,-0.9736328125,-0.8170166015625
56,-0.9998779296875,-0.9964599609375,-0.9891357421875,-0.9681396484375,-0.8123779296875
57,-0.9998779296875,-0.996826171875,-0.9888916015625,-0.9683837890625,-0.798095703125
58,-0.9998779296875,-0.9969482421875,-0.989013671875,-0.970947265625,-0.804443359375
59,-0.9998779296875,-0.9952392578125,-0.986328125,-0.9637451171875,-0.785400390625
60,-0.9998779296875,-0.99658203125,-0.98681640625,-0.9656982421875,-0.794677734375
61,-0.9998779296875,-0.994873046875,-0.9857177734375,-0.963134765625,-0.77587890625
62,-0.9998779296875,-0.996826171875,-0.9832763671875,-0.9654541015625,-0.766357421875
63,-0.9998779296875,-0.9969482421875,-0.9815673828125,-0.96240234375,-0.7525634765625
64,-0.9998779296875,-0.9957275390625,-0.983642578125,-0.955078125,-0.745361328125
